,corpus,label
0,@SammieLynnsMom @tg10781 they will be all done by Sunday trust me *wink* Made it back home to GA .,O O O O O O O O O O O O O O O O O B-geo-loc O
1,"It sucks not to be at Disney world , but its good to be home .",O O O O O O B-facility I-facility O O O O O O O O
2,Time to start planning the next Disney World trip .,O O O O O O B-facility I-facility O O
3,"' Breaking Dawn ' Returns to Vancouver on January 11th http://bit.ly/dbDMs8 @ls_n perhaps , but folks may find something in the gallery that is helpful in their day-to-day work as well .",O B-movie I-movie O O O B-geo-loc O O O O O O O O O O O O O O O O O O O O O O O O O
4,Even just to use it .,O O O O O O
5,@Carr0t aye been tonight - excellent RT @LilTwist : RT this if you want me to go back live on Ustream later tonight @Hollly_ 16 b 17 in feb RT @obsidianchao : OF FUCKING COURSE .,O O O O O O O O O O O O O O O O O O O O B-company O O O O O O O O O O O O O O O
6,I GET HOME AND MY BROTHER IS ON THE MOTHER FUCKING XBOX .,O O O O O O O O O O O B-product O
7,Worst fucking day ever .,O O O O O
8,"I haven't driven to bc in years , and I am just stunned by how beautiful the drive is .",O O O O B-geo-loc O O O O O O O O O O O O O O O
9,@daraobriain hmmm .,O O O
10,Cant wait .,O O O
11,Comin on Thursday .,O O O O
12,First time to the Apollo .,O O O B-facility I-facility O
13,"RT @Hatshepsutely : @adamlambert please , oh please wear the infamous beach hat tonight during your encore ( in lieu of a rasta wig) .",O O O O O O O O O O O O O O O O O O O O O O O O O
14,"&lt; 3333 When I said good night , I ended up watching movies on my laptop .",O O O O O O O O O O O O O O O O O
15,Yep .,O O
16,No sleep again .,O O O O
17,Time to take a bath now ! It 's gonna be a looong day .,O O O O O O O O O O O O O O O
18,"'On set filming Chris "" Rainy Days "" video .",O O O B-person O B-other I-other O O O
19,"This is the final scene then we can finally edit it .' @EimearJedward auditioning on sunday :) xo @SheSo_Major they giving the nigga a realllllll hard time about it lmfaoo as they should and now his feelings are hurt ... i like him tho LMAO The Wolves to host the Lions for game time ! Follow us for scores and updates throughout the game ! Man gets 20 years in murder plot against judge http://bit.ly/agB9iL ... around all day isnt good for you , least i get home-relaxing time , thursday and frees to keeep me sane :) Today is the COMPLETE OPPOSITE of yesterday - .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-sportsteam I-sportsteam O O B-sportsteam I-sportsteam O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20,"- #SIUC Whats the Plan For tonight ?? Whos Goin to the BLAST Just changed my twitter background , check it out ! Found it at http://twitrounds.com .. September 17 , 2010 , 2:52 pm time to get some sleep .",O O O O O O O O O O O B-facility I-facility O O O B-company O O O O O O O O O O O O O O O O O O O O O O O O
21,been out from 4pm till now .,O O O O O O O
22,"'Come to "" MRB @ 61 Roadhouse BBQ "" Sunday , October 10 from 12:00 pm to 4:00 pm .",O O O B-other I-other I-other I-other I-other O O O O O O O O O O O O
